Claim ID,Claim Description,Date of Claim,Claim Amount,Policyholder ID,Vehicle Make/Model,Adjuster Notes,Claim Location,Previous Claims Count,Fraudulent
9feba31c-7957-4508-b73d-755b12c9e48b,Rear-ended at traffic light,1/2/25,1332.18,42987,Toyota Camry,Door speech when behavior radio forget.,Maryborough,0,0
ff76ae4e-24de-45bb-8c22-bfd5aa0f42dd,Minor fender bender in parking lot,7/11/25,3478.35,83234,Chevrolet Malibu,Different this almost allow peace.,South Jason,3,0
f19b2c65-5f77-423f-9dbe-344d6fa2d37d,Vehicle not at the scene,4/6/25,7295.79,28762,Ford F-150,Onto admit television would.,North Thomasport,0,1
d3d828d9-0408-443a-bb8d-af49e9e88b90,Rear-ended at traffic light,12/25/24,3813.84,53541,Kia Sorento,Day thus central than.,West Gerald,0,0
d1f0a7d6-7d47-4118-85c1-f9a5ec8d2f65,Rear-ended at traffic light,5/24/25,412.62,47969,Volkswagen Jetta,Either decision herself.,North Markmouth,1,0
c29eef55-24b4-453a-9f19-e1a367e55b2b,Side mirror damaged while parked,7/9/25,2156.57,81001,Toyota Camry,Field west usually add.,Lauraville,0,0
b3605c9c-d4c7-4a14-90a0-16161bdbb589,Rear-ended at traffic light,8/6/24,2055.79,29141,Honda Civic,Understand show new marriage language always.,Danielmouth,1,0
f6de892d-2106-4de8-b504-bf4b0abc6065,Windshield cracked on highway,4/16/25,3896.58,37995,Chevrolet Malibu,Why house change south worry.,Stewartfurt,1,0
5b77845d-52e5-4004-85e1-644555b97dfd,Tire blowout on freeway,12/14/24,2099.62,98277,Volkswagen Jetta,Difference quite size population bill choose center state.,West Lynn,0,0
7c4e9d0d-4362-4fc7-8bc9-7b823acd5ec6,Rear-ended at traffic light,9/6/24,4421.16,73317,Kia Sorento,Recognize break blood receive at note.,Port Jose,1,0
05297f16-372c-4b7e-9996-a005216e151d,Windshield cracked on highway,3/11/25,4233.82,51580,Kia Sorento,Young shoulder particular growth office.,Georgeberg,0,0
0a1ae2a8-5752-4b2a-8fd9-efc4be5a9a81,Side mirror damaged while parked,1/7/25,1168.73,39755,Chevrolet Malibu,Past fund spring teacher prevent bag lead.,New Joseph,1,0
aa4ff9ea-9c2a-4efa-a7aa-07a72aeaa6de,Duplicate claim detected,5/7/25,8327.96,64783,Volkswagen Jetta,Behavior kitchen shoulder choice pressure produce now.,Jasonfort,1,1
59f517f1-c808-4ce6-a4fe-7c2c214f360b,Minor fender bender in parking lot,1/24/25,4322.64,92922,Toyota Camry,Degree forget analysis performance popular leader sound.,New Robert,0,0
71b02f08-2291-488f-8d29-f14545a5eb67,Windshield cracked on highway,1/30/25,782.22,37830,Subaru Outback,Administration room including ask light.,Michaelburgh,1,0
9c273549-fe11-4b44-964f-28f8eecf350a,Minor fender bender in parking lot,3/26/25,1920.23,97460,Nissan Altima,Budget thought exactly require improve current.,Robinsonshire,1,0
adb3b124-beab-443a-ad77-124908743079,Windshield cracked on highway,7/14/25,1984.62,50654,Chevrolet Malibu,Hundred beat land explain case.,East Frank,0,0
11abff77-0c0c-4a71-8ce9-829bac420191,Minor fender bender in parking lot,4/14/25,3917.51,62978,Honda Civic,Matter plan year yard approach although step.,Marshallburgh,3,0
2deb0b8a-789a-4af5-8f0e-812948f6b5b8,Rear-ended at traffic light,3/27/25,737.77,48691,Subaru Outback,Camera fine hair set everyone.,Dayside,0,0
6537c8b0-441d-4c5e-be85-b336b5dfbc02,Rear-ended at traffic light,2/11/25,4649.47,87279,Hyundai Elantra,House Mr once expect change.,East Kurt,0,0
647dfd59-c87a-4d15-9874-72ae4e873fc7,Minor fender bender in parking lot,12/27/24,4252.19,18566,Volkswagen Jetta,Consider item put whom join already.,South Gabriellafort,1,0
ac9d00d2-ce66-406f-89f7-12e0138c60b7,Minor fender bender in parking lot,8/29/24,3444.84,38832,Toyota Camry,Single development attack room.,South Michellehaven,2,0
5801003f-809c-4f5b-ad8f-c04e782ccc5d,Side mirror damaged while parked,6/30/25,200,36931,Kia Sorento,Kind wife free about day.,Cookshire,0,0
5d856f8c-5c48-46b3-8e7f-02cde882434f,Rear-ended at traffic light,1/8/25,4232.85,96495,Subaru Outback,Exist type assume standard husband back.,Port Jeremystad,0,0
5fa4d048-28a7-4e4e-aed1-e3efb57f8483,Rear-ended at traffic light,6/3/25,3137.64,43920,Kia Sorento,Her mean collection yard.,Suzannefurt,1,0
abec306b-b9bd-4136-b66a-f99cd61ed2ad,Minor fender bender in parking lot,4/7/25,200,82429,Volkswagen Jetta,Positive audience fire American way air all.,Russellberg,1,0
c2965ecc-48b8-468c-b803-7c6155953658,Minor fender bender in parking lot,6/29/25,1787.26,49970,Volkswagen Jetta,Knowledge similar especially technology.,Carolberg,4,0
f74fe174-b998-466a-824a-f5c813cd798c,Windshield cracked on highway,6/8/25,2247.36,90947,Honda Civic,Front according positive land all.,South Kennethside,3,0
82a8b62b-7fa9-42cc-8696-6d79657596b2,Rear-ended at traffic light,12/20/24,2615.05,69012,Chevrolet Malibu,General still dog few.,Port Candace,1,0
b4ce79e4-9a1e-4450-a87c-671f57a8de45,Minor fender bender in parking lot,5/25/25,2448.26,34114,Honda Civic,Mention check former enjoy.,North Patrickfurt,0,0
39c4cb6b-59e7-4655-a654-1cc3719f9a04,Windshield cracked on highway,1/23/25,876.94,69009,Honda Civic,Party air game true necessary three.,Wangstad,0,0
8f741a5e-da44-429a-a0a7-36d1433303b8,Side mirror damaged while parked,12/30/24,2369.03,50317,Nissan Altima,Everybody among campaign away career.,Lake Alexandraton,1,0
55bb7d62-c651-4483-bc8e-4016d880b3d9,Side mirror damaged while parked,5/25/25,1585.41,76882,Hyundai Elantra,Wrong story choice top street.,Tracyburgh,2,0
8ecd881c-900f-4639-8cef-d0dc1d9b5a94,Windshield cracked on highway,10/20/24,5105.94,75646,Hyundai Elantra,Week may detail concern drop question.,Dayton,0,0
eac49333-b4db-42b8-9d2d-cd732f741b94,Minor fender bender in parking lot,10/25/24,3153.52,31817,Chevrolet Malibu,Dark recent walk we movement manager set.,East Kevin,1,0
f9e589b3-f3bf-49e7-aed9-2676ca8dfa1f,Minor fender bender in parking lot,5/18/25,2351.09,26417,Honda Civic,Soldier beyond clear above free really word.,Thompsonberg,1,0
8b392626-bde2-4f9a-80ff-31b1b8a7398b,Tire blowout on freeway,12/16/24,3509.73,59963,Ford F-150,Movement will particular in pressure too.,Cassandraberg,0,0
7fd9e1ea-de32-4dd0-b5e1-f5dcbfc91529,Tire blowout on freeway,9/6/24,2988.93,21009,Chevrolet Malibu,Ten cost key.,North James,1,0
91808e63-7b2d-4685-b7a6-59de6feb2e9d,Windshield cracked on highway,11/17/24,5104.19,42975,BMW 3 Series,Daughter high door else.,Lake William,1,0
01ff5de4-62a9-4024-87c0-b3cc7da7402b,Side mirror damaged while parked,1/7/25,897.22,95355,Nissan Altima,Dark himself by ready song.,Lake Todd,1,0
208b3e7a-1a4a-4048-a712-18cdb8e425a9,Tire blowout on freeway,9/16/24,3149.48,57569,Chevrolet Malibu,Born church of seem.,New Ericmouth,1,0
8b38f4e9-432f-45e9-acd4-d4234b22c787,Minor fender bender in parking lot,3/12/25,2244.79,19039,Toyota Camry,Tell rest major by environmental.,East Daniel,0,0
0d1fcd10-ca9d-40d6-a6a4-81d068f897a2,Windshield cracked on highway,6/23/25,3804.5,32614,Toyota Camry,Us full under.,West Josephhaven,1,0
8c76a840-747a-48b4-88a8-776af83565a5,Minor fender bender in parking lot,3/2/25,1627.96,63325,Subaru Outback,Sense defense gun responsibility size price feel.,Carrmouth,0,0
f9a651c0-2946-4c43-9768-f589d413868f,Minor fender bender in parking lot,4/9/25,4220.28,58098,Honda Civic,Four baby first.,Margaretborough,2,0
d60cc2bc-65ce-4691-9c51-50e4194cd878,Windshield cracked on highway,11/3/24,1153.7,75973,Volkswagen Jetta,Hair defense citizen degree thousand probably yeah.,South Josephfurt,0,0
165b73e1-4b27-45ad-82cf-8d1d200ccd5a,Minor fender bender in parking lot,1/9/25,3389.82,62303,Chevrolet Malibu,Role according save his career really energy.,East Preston,0,0
11e197ab-6b1d-49a6-a10b-d46e02000760,Side mirror damaged while parked,5/8/25,4172.73,94798,Subaru Outback,Speech tree mother interest build.,West Timothyshire,4,0
0d0b50f4-ddb9-4dbc-96ba-a0907ad5e820,Side mirror damaged while parked,10/3/24,3439.61,92797,Ford F-150,Attorney thing interview share care institution.,Lake Carolinechester,0,0
f2bd582a-d131-4b29-854b-46e8d2ef9646,Minor fender bender in parking lot,8/16/24,1928.47,13068,Ford F-150,Necessary admit story month.,West Nicole,2,0
a1216f9c-3c83-4660-a3cb-d8c94f044afe,Windshield cracked on highway,2/13/25,1537.98,65604,Kia Sorento,Coach cup push treatment.,West Antonio,0,0
5fa7650f-c20c-4d31-b37e-34d9610da686,Tire blowout on freeway,8/6/24,4180.63,66972,Nissan Altima,Person paper hair buy.,Weberchester,2,0
c6349555-b5e0-420e-8862-693607c36ba3,Tire blowout on freeway,4/15/25,2631.92,48104,Subaru Outback,Economy travel scientist production.,South Tamarachester,0,0
61f2fee4-ba1a-4814-b0ba-7683d1154e7c,Tire blowout on freeway,2/18/25,1869.4,37196,Subaru Outback,Recent store night list charge drop.,East Heatherborough,2,0
46fca7a3-7e00-439c-a3b9-f9b4869057e6,Minor fender bender in parking lot,12/1/24,3019.5,55042,Chevrolet Malibu,Win those no bag chance.,Smithhaven,1,0
d3459472-5625-49df-98ce-93e35dd8c353,Windshield cracked on highway,12/18/24,5180.3,82921,Kia Sorento,Society ok film.,Evansfort,1,0
c5736987-ad3e-4b83-b576-57e7a255d522,Side mirror damaged while parked,12/15/24,1393.66,23756,Honda Civic,Agree natural record shake agree health.,Mindymouth,3,0
9b9b3d11-31d0-4676-aa79-ec6b8c0e0eab,Rear-ended at traffic light,1/18/25,3723.71,35571,Honda Civic,Capital bank later prevent.,Marieborough,4,0
de4ca4b2-dd69-4644-bdf3-a697928a3c2f,Windshield cracked on highway,11/21/24,4568.36,64240,Ford F-150,Imagine point nice rest style seat prove.,West Loribury,0,0
9560d777-2f15-439b-96cd-51b4fb022b8d,Side mirror damaged while parked,6/4/25,2486.79,35109,Volkswagen Jetta,Main performance floor.,West Williamville,2,0
f18f667a-2c18-4cc6-989e-fc7d12dbe6a6,Rear-ended at traffic light,5/25/25,3346.43,62178,Subaru Outback,Whether pass strong fire tend seem each.,Stewartland,1,0
882b9325-00d8-4a01-8738-5010804abefe,Side mirror damaged while parked,2/9/25,1786.59,64560,Volkswagen Jetta,Than rock decision character woman policy here.,South Heatherfurt,3,0
e03e1cff-e9d2-4f0f-80ad-d116ccbd8911,Side mirror damaged while parked,4/9/25,4357.68,76027,Kia Sorento,Kid recently community accept station building.,Bishopland,3,0
4d30208e-49c5-423d-8e90-1d3a7e674e8f,Minor fender bender in parking lot,2/23/25,2094.14,77915,Kia Sorento,Hope behavior project free.,Jefferyville,2,0
00bca919-617b-46a0-95e0-cd2f8c01806d,Rear-ended at traffic light,11/5/24,2527.1,79186,Honda Civic,Rise trouble item.,Port Ginaport,1,0
ee1771dc-de7f-4f40-b5b6-79d384f27986,Tire blowout on freeway,10/28/24,4138.45,84883,Nissan Altima,Beat town exactly skin simple Democrat win.,Lake Heather,0,0
3a4805f6-fd79-4db8-888b-5254f6c6c5f5,Minor fender bender in parking lot,6/14/25,317.26,85098,Honda Civic,Get teach police dog against explain.,Rebeccaberg,1,0
96a9164a-d8ab-4e17-96b1-fc6c36d14807,Minor fender bender in parking lot,7/16/25,3535.96,55624,Subaru Outback,Another mother money themselves adult take get.,Adamburgh,1,0
a3e8cf56-74b5-443d-a5df-4b13d34d54f7,Windshield cracked on highway,2/28/25,5340.57,90235,BMW 3 Series,Painting never beautiful.,Jasonshire,0,0
8b5f4956-1ec4-44cf-b003-3ef1683a8464,Rear-ended at traffic light,10/17/24,3192.83,76789,Nissan Altima,More health certain again.,Wallacehaven,0,0
6eea4e21-0a7a-426b-a997-fdb05eafc9e5,Tire blowout on freeway,7/25/24,6583.55,24481,Ford F-150,Management include piece alone product person.,Graytown,3,0
54813591-8a36-4347-9031-d40bb7cdd819,Tire blowout on freeway,4/23/25,5765.12,73260,Honda Civic,Glass gas campaign window.,New Kayla,1,0
d878cfd4-a3fa-40c7-b7f3-b769a93c59bf,Minor fender bender in parking lot,2/25/25,1842.27,95729,Kia Sorento,Specific sound early actually season friend.,East Brittanyville,0,0
aed20280-ab1a-40dd-a2de-d3382776f0c5,Tire blowout on freeway,2/7/25,5491.95,62571,Chevrolet Malibu,Possible building type work.,Jamestown,0,0
e94ff9fb-32c5-4cd3-ab25-ed211b6c94d5,Windshield cracked on highway,6/29/25,4418.07,46141,Hyundai Elantra,Police international sister apply piece others.,South Cynthiamouth,0,0
f7f44b20-81db-4c89-bf18-8f51d6447da2,Vehicle not at the scene,5/25/25,9899.61,65397,Kia Sorento,Operation throughout six involve nothing into.,North Raymondchester,2,1
0b25507e-2584-4c68-8a80-f555e5c8fa6e,Tire blowout on freeway,11/22/24,1903.89,70508,Toyota Camry,Skill worker ahead central grow.,Maryville,1,0
048ccfae-2b0b-43a3-9101-a788e0fb7a8d,Tire blowout on freeway,7/31/24,1080.12,97252,Hyundai Elantra,Imagine how talk identify point.,South Justin,0,0
54813ce7-d1d0-4ec0-893e-69e6f785094e,Side mirror damaged while parked,5/28/25,3665.73,19293,Toyota Camry,Father you let Mr itself structure half.,Lake Derrick,1,0
40171498-3c01-4bc6-90f9-93b8792b7cc1,Rear-ended at traffic light,5/28/25,4161.95,90101,Hyundai Elantra,Food technology voice box word.,Lake Lisa,1,0
02209c0a-1fc6-4e9b-96e0-a474574dbe25,Minor fender bender in parking lot,8/13/24,5448.62,52626,Chevrolet Malibu,Run like no.,Russellport,1,0
d583ea42-cf3f-48a4-a11f-df17248f5ed3,Rear-ended at traffic light,7/12/25,854.79,84917,Chevrolet Malibu,Coach pressure figure few.,Valenzuelaport,1,0
4a4a6856-d0e3-4b1f-aa71-f9b9e793f9ef,Tire blowout on freeway,7/6/25,1527.74,74217,Honda Civic,Value from game together prepare experience bit.,Mooreton,0,0
aa7fa0d8-46d7-496d-aa42-818595badc7b,Rear-ended at traffic light,9/13/24,3693.16,87483,BMW 3 Series,Consider reduce require business hear art recognize.,South Alexandria,0,0
7fa0421d-c651-460e-b9f7-e830601ebe7b,Rear-ended at traffic light,1/20/25,3170.28,40791,Kia Sorento,Great throughout hear company word.,Dillonfurt,1,0
4f271d24-65c3-4741-8110-6a0739c4875e,Windshield cracked on highway,12/10/24,3993.2,49975,Ford F-150,Per future government thought up particularly.,Boltonton,2,0
c28d016a-d4c9-49c4-8255-cc3c483fb81b,Duplicate claim detected,9/14/24,7270.35,56325,Kia Sorento,Security staff look lay.,Guerrastad,0,1
e8ddc0b3-b962-448e-8845-185a4f9ba171,Windshield cracked on highway,12/6/24,3311.4,24837,Nissan Altima,Bad play serious everyone star own.,North Carolyn,0,0
e7838103-5565-4839-b432-8b74eb69cbc7,Tire blowout on freeway,4/14/25,2066.64,91788,Volkswagen Jetta,Note garden low garden choice likely.,Gregoryborough,3,0
d076f518-fc01-4b58-be3c-a0e00d0a861a,Side mirror damaged while parked,4/4/25,2466.77,11868,Chevrolet Malibu,Garden only important money final practice.,Jessicastad,0,0
96bf52c0-68f9-4b0f-aab0-6da1c87d4f74,Tire blowout on freeway,9/3/24,4120.94,67748,Chevrolet Malibu,Control history ago.,West David,2,0
5c4e0d23-8ba6-4404-bb61-d0c7bf69830c,Minor fender bender in parking lot,1/17/25,3915.56,97322,Subaru Outback,Thousand old power bar reflect believe party.,Port Philip,0,0
647c250c-a505-40f1-8bf7-78e15bb06420,Exaggerated injury report,3/16/25,7673.48,34293,BMW 3 Series,Chair other project particularly dog stay.,Lake Coltonville,2,1
b9aea5f7-a9bd-4950-b71e-1f0a7b42db07,Photos do not match accident report,8/18/24,9648.17,60886,BMW 3 Series,Sign they save anyone member finish themselves remember.,Turnerport,2,1
b2dbe942-0a28-43f3-95d2-8e26129957fd,Rear-ended at traffic light,8/6/24,3486.25,26442,Chevrolet Malibu,Rate by remain.,Lake Nicholas,2,0
004a9696-d94b-4128-bf12-ec55379b26d5,Windshield cracked on highway,8/26/24,2804.79,66950,Honda Civic,Marriage democratic summer painting.,Smithland,0,0
